Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"2,149.64",315.12,"8,552.92","8,447.87","6,922.37","5,388.04","1,885.76","1,251.11","1,199.61"
Time To Second Token (ms),549.60,36.88,848.98,798.09,636.02,631.06,626.78,607.70,595.18
Request Latency (ms),"22,193.77","19,650.57","31,908.56","30,002.41","26,142.70","24,744.21","22,421.45","21,706.66","21,063.25"
Inter Token Latency (ms),92.23,57.42,116.05,114.12,101.00,98.33,95.62,92.21,89.17
Output Sequence Length (tokens),219.29,203.00,349.00,278.75,240.00,229.50,222.00,217.00,211.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.50","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),300.82
Request Throughput (per sec),1.37
Request Count (count),126.00
