Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),38.42,24.44,108.56,96.66,62.94,57.75,43.46,31.71,27.90
Time To Second Token (ms),8.12,0.01,86.24,63.33,19.02,14.69,8.04,4.77,2.96
Request Latency (ms),992.72,966.74,"1,018.21","1,016.07","1,010.85","1,006.59","1,001.12",991.75,984.03
Inter Token Latency (ms),4.42,3.55,5.09,4.99,4.76,4.73,4.63,4.43,4.27
Output Sequence Length (tokens),218.17,185.00,262.00,260.25,255.50,241.50,225.25,214.00,207.75
Input Sequence Length (tokens),"1,000.08","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),219.61
Request Throughput (per sec),1.01
Request Count (count),36.00
