Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),319.56,79.43,"2,164.98",615.91,477.12,458.51,417.37,328.00,198.04
Time To Second Token (ms),24.75,0.00,182.51,126.56,65.41,54.77,28.89,19.22,12.99
Request Latency (ms),"20,523.25",972.47,"24,490.29","23,889.87","23,292.39","22,978.98","22,809.65","22,551.01","22,325.62"
Inter Token Latency (ms),20.47,11.09,23.96,23.46,22.59,22.42,21.99,20.73,19.40
Output Sequence Length (tokens),987.75,36.00,"1,990.00","1,866.36","1,225.10","1,179.20","1,109.50","1,048.00","1,002.00"
Input Sequence Length (tokens),200.10,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),"5,536.77"
Request Throughput (per sec),5.61
Request Count (count),419.00
