Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),119.70,30.93,296.20,244.64,187.69,180.76,171.29,100.05,89.49
Time To Second Token (ms),27.06,0.01,129.30,129.10,70.00,60.24,35.04,24.05,8.27
Request Latency (ms),"7,247.18","1,639.68","7,388.30","7,374.32","7,351.14","7,349.00","7,342.77","7,299.01","7,274.64"
Inter Token Latency (ms),6.63,4.96,7.47,7.26,7.21,7.18,7.05,6.63,6.28
Output Sequence Length (tokens),"1,082.78",224.00,"1,454.00","1,433.84","1,212.00","1,174.80","1,142.00","1,081.00","1,011.00"
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.40","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"2,306.87"
Request Throughput (per sec),2.13
Request Count (count),97.00
