Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),210.50,81.32,447.20,430.91,351.38,311.57,244.46,197.64,164.20
Time To Second Token (ms),45.09,0.00,185.18,136.61,98.56,78.13,62.28,45.04,23.22
Request Latency (ms),"32,942.25","32,454.70","33,472.58","33,346.60","33,280.84","33,233.32","33,039.09","32,925.05","32,835.45"
Inter Token Latency (ms),29.63,18.91,34.37,32.79,32.52,32.21,31.15,29.78,28.67
Output Sequence Length (tokens),"1,112.40",961.00,"1,740.00","1,442.54","1,287.55","1,203.00","1,143.00","1,100.00","1,052.75"
Input Sequence Length (tokens),"1,000.09","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"2,153.59"
Request Throughput (per sec),1.94
Request Count (count),384.00
