Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),29.03,17.78,55.03,54.24,51.08,47.13,34.69,22.37,19.78
Time To Second Token (ms),7.46,2.25,15.03,14.79,13.82,12.61,9.55,6.38,4.62
Request Latency (ms),"4,271.60",661.99,"4,818.27","4,817.75","4,815.67","4,813.06","4,809.53","4,780.04","4,760.30"
Inter Token Latency (ms),4.48,3.85,4.78,4.78,4.77,4.77,4.75,4.59,4.25
Output Sequence Length (tokens),947.75,150.00,"1,238.00","1,229.39","1,194.95","1,151.90","1,067.75","1,011.00","1,002.75"
Input Sequence Length (tokens),"1,000.12","1,000.00","1,001.00","1,000.93","1,000.65","1,000.30","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),221.78
Request Throughput (per sec),0.23
Request Count (count),8.00
