Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"11,444.14",370.44,"50,696.88","50,271.81","41,588.13","33,632.82","8,614.54","6,278.47","3,926.32"
Time To Second Token (ms),519.02,47.42,908.36,727.33,634.37,631.79,626.44,610.89,588.03
Request Latency (ms),"86,581.65","18,068.19","132,071.69","131,514.44","123,747.94","118,584.58","105,446.58","77,154.21","70,585.14"
Inter Token Latency (ms),67.41,31.07,112.93,111.55,104.96,94.19,67.06,63.03,59.62
Output Sequence Length (tokens),"1,134.80",277.00,"2,124.00","2,095.44","1,381.80","1,210.20","1,140.00","1,094.00","1,057.00"
Input Sequence Length (tokens),"1,000.09","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),367.96
Request Throughput (per sec),0.32
Request Count (count),69.00
