Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),362.30,72.85,714.24,587.48,504.72,486.85,430.87,380.71,280.81
Time To Second Token (ms),42.63,0.00,228.58,108.96,86.09,78.61,63.57,39.93,20.54
Request Latency (ms),"42,298.61","16,545.10","43,043.27","42,779.63","42,699.70","42,648.01","42,597.02","42,466.52","42,174.28"
Inter Token Latency (ms),37.75,21.50,45.70,42.23,41.87,41.28,39.36,37.88,36.59
Output Sequence Length (tokens),"1,119.99",500.00,"1,944.00","1,569.84","1,263.00","1,218.20","1,151.00","1,109.00","1,067.00"
Input Sequence Length (tokens),200.09,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),"3,009.86"
Request Throughput (per sec),2.69
Request Count (count),385.00
