Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"123,198.51",141.93,"278,810.98","276,584.71","273,784.53","268,461.10","209,554.04","133,800.77","7,287.24"
Time To Second Token (ms),305.91,34.33,635.47,633.98,631.03,627.11,603.22,76.64,59.26
Request Latency (ms),"203,453.13","66,757.69","351,724.35","348,892.26","343,458.26","337,108.34","279,349.51","202,933.41","121,700.76"
Inter Token Latency (ms),73.44,31.58,131.60,127.06,113.00,102.34,82.11,65.67,61.84
Output Sequence Length (tokens),"1,100.13",396.00,"2,100.00","1,418.00","1,243.00","1,187.40","1,147.00","1,092.00","1,043.00"
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.40","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),365.95
Request Throughput (per sec),0.33
Request Count (count),117.00
