Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),374.76,83.89,"1,344.46",909.98,663.76,578.79,463.16,351.75,260.02
Time To Second Token (ms),40.88,0.00,541.18,187.98,128.97,100.07,61.81,28.82,0.45
Request Latency (ms),"6,124.62",658.53,"7,236.22","6,797.34","6,708.22","6,610.28","6,435.97","6,182.59","5,976.09"
Inter Token Latency (ms),26.94,14.18,52.71,31.96,30.97,30.23,28.79,27.27,25.51
Output Sequence Length (tokens),215.34,19.00,362.00,277.09,242.00,233.00,222.00,214.00,206.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"4,429.36"
Request Throughput (per sec),20.57
Request Count (count),"2,292.00"
