Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),941.67,181.46,"1,855.31","1,853.82","1,450.28","1,386.75",998.54,898.55,763.90
Time To Second Token (ms),419.06,19.60,675.91,652.22,621.81,620.22,555.93,505.36,256.76
Request Latency (ms),"10,275.13","8,939.71","13,697.12","13,499.79","11,813.13","10,473.19","10,233.46","10,158.32","10,098.02"
Inter Token Latency (ms),85.37,45.52,115.81,110.75,103.85,91.87,88.19,85.14,81.92
Output Sequence Length (tokens),111.18,96.00,207.00,178.12,122.40,118.00,112.00,109.00,106.00
Input Sequence Length (tokens),200.09,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),"1,149.48"
Request Throughput (per sec),10.34
Request Count (count),373.00
