Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"16,932.10",395.30,"26,973.32","26,791.49","25,753.52","25,170.59","23,853.00","21,692.15","5,929.71"
Time To Second Token (ms),566.36,54.97,646.84,642.99,638.86,635.15,629.27,622.13,611.81
Request Latency (ms),"36,655.01","17,396.88","47,220.30","47,030.83","45,666.53","44,684.17","43,440.34","41,765.12","32,849.07"
Inter Token Latency (ms),91.04,39.55,136.92,134.48,122.77,98.14,95.09,91.38,82.73
Output Sequence Length (tokens),219.92,203.00,512.00,375.67,231.00,227.10,220.00,214.50,211.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.10","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),310.09
Request Throughput (per sec),1.41
Request Count (count),130.00
