Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),488.26,124.49,897.36,897.08,806.08,747.44,723.06,649.52,151.25
Time To Second Token (ms),136.73,8.19,580.20,577.47,249.48,202.51,181.45,91.01,54.18
Request Latency (ms),"52,362.92","26,211.83","55,890.01","55,887.27","55,875.33","55,861.72","55,842.12","55,681.06","55,574.86"
Inter Token Latency (ms),48.26,27.85,55.72,55.22,53.87,52.72,50.77,49.07,46.68
Output Sequence Length (tokens),"1,082.34",589.00,"1,983.00","1,638.15","1,231.00","1,174.50","1,149.00","1,098.00","1,032.75"
Input Sequence Length (tokens),200.09,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),283.28
Request Throughput (per sec),0.26
Request Count (count),56.00
