Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),200.73,69.46,998.24,671.49,396.06,323.43,230.37,165.25,137.30
Time To Second Token (ms),50.52,0.00,"1,241.72",295.14,110.12,80.70,54.99,40.67,29.13
Request Latency (ms),"6,318.11","5,905.99","6,886.70","6,768.82","6,531.60","6,437.52","6,354.37","6,296.51","6,253.32"
Inter Token Latency (ms),27.86,17.86,33.12,30.63,29.98,29.52,28.78,27.97,27.07
Output Sequence Length (tokens),221.07,196.00,350.00,258.45,238.00,233.00,226.00,220.00,214.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.50","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"2,227.51"
Request Throughput (per sec),10.08
Request Count (count),"1,856.00"
