Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),26.85,22.57,38.61,37.46,32.84,28.89,28.38,26.86,23.37
Time To Second Token (ms),12.88,11.19,14.12,14.10,14.04,13.94,13.59,13.09,12.11
Request Latency (ms),"2,723.03","2,691.54","2,733.25","2,732.97","2,731.86","2,730.91","2,730.51","2,728.15","2,724.61"
Inter Token Latency (ms),12.12,10.64,13.38,13.29,12.94,12.64,12.53,12.37,11.66
Output Sequence Length (tokens),224.15,203.00,255.00,252.60,243.00,234.80,233.00,220.00,215.00
Input Sequence Length (tokens),100.08,100.00,101.00,100.88,100.40,100.00,100.00,100.00,100.00

Metric,Value
Output Token Throughput (per sec),82.31
Request Throughput (per sec),0.37
Request Count (count),13.00
