Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),90.11,43.46,185.91,183.70,181.65,138.31,96.31,79.27,67.96
Time To Second Token (ms),24.36,0.00,77.85,65.77,62.28,59.15,35.91,18.62,11.31
Request Latency (ms),"21,091.54","8,294.69","21,588.62","21,414.74","21,360.71","21,344.93","21,315.26","21,269.29","21,227.95"
Inter Token Latency (ms),19.19,12.65,21.30,21.20,21.04,20.95,20.19,19.37,18.32
Output Sequence Length (tokens),"1,100.87",483.00,"1,665.00","1,401.06","1,230.20","1,196.80","1,151.00","1,093.00","1,048.00"
Input Sequence Length (tokens),200.10,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),"1,525.11"
Request Throughput (per sec),1.39
Request Count (count),195.00
