Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),158.86,59.89,272.66,269.56,264.52,242.96,205.93,139.63,122.89
Time To Second Token (ms),26.31,0.00,79.81,71.36,55.86,50.42,35.22,24.86,15.36
Request Latency (ms),"5,248.58","3,139.94","5,500.28","5,477.84","5,454.59","5,434.75","5,377.21","5,210.07","5,165.74"
Inter Token Latency (ms),23.12,11.55,26.33,25.67,25.25,24.74,24.01,23.30,22.50
Output Sequence Length (tokens),222.41,130.00,438.00,299.16,243.80,238.00,226.00,220.00,213.00
Input Sequence Length (tokens),100.09,100.00,101.00,101.00,101.00,100.00,100.00,100.00,100.00

Metric,Value
Output Token Throughput (per sec),"2,489.16"
Request Throughput (per sec),11.19
Request Count (count),385.00
