Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),141.91,42.53,"1,086.69","1,084.04",548.29,518.52,88.67,76.56,64.10
Time To Second Token (ms),21.35,0.01,59.77,55.99,46.44,38.36,27.02,19.02,14.15
Request Latency (ms),"4,052.57","3,916.08","4,950.63","4,944.94","4,331.05","4,297.20","4,071.53","3,998.64","3,964.70"
Inter Token Latency (ms),17.80,13.77,21.01,19.62,19.27,19.02,18.42,17.87,17.24
Output Sequence Length (tokens),221.27,181.00,285.00,266.15,238.25,232.50,226.25,220.00,214.00
Input Sequence Length (tokens),100.10,100.00,101.00,101.00,101.00,100.50,100.00,100.00,100.00

Metric,Value
Output Token Throughput (per sec),"1,718.08"
Request Throughput (per sec),7.76
Request Count (count),256.00
