Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"8,845.74",189.37,"114,673.59","109,287.18","67,978.06","4,580.76","3,965.89","3,343.58","1,550.95"
Time To Second Token (ms),484.25,52.69,621.10,615.39,613.11,610.99,604.69,590.39,565.51
Request Latency (ms),"127,476.65","18,334.67","205,268.81","205,150.86","203,565.67","199,431.51","180,003.91","128,299.57","71,852.69"
Inter Token Latency (ms),115.48,39.56,352.03,272.92,187.54,179.85,151.34,109.14,68.73
Output Sequence Length (tokens),"1,051.11",208.00,"1,927.00","1,657.20","1,265.25","1,204.00","1,153.00","1,096.50","1,033.25"
Input Sequence Length (tokens),200.09,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),606.78
Request Throughput (per sec),0.58
Request Count (count),138.00
