Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"4,981.02",147.16,"26,671.75","25,146.36","21,150.86","7,989.94","7,804.72","2,374.83","1,281.85"
Time To Second Token (ms),391.48,34.73,619.19,618.80,612.19,595.07,585.02,502.56,63.46
Request Latency (ms),"86,233.04","20,480.77","125,678.60","125,209.59","119,939.78","113,651.54","104,514.09","85,263.97","65,569.02"
Inter Token Latency (ms),75.72,30.42,135.57,130.38,112.03,104.61,88.04,72.43,59.50
Output Sequence Length (tokens),"1,102.20",267.00,"1,989.00","1,956.56","1,239.20","1,209.00","1,169.00","1,131.00","1,049.00"
Input Sequence Length (tokens),200.10,200.00,201.00,201.00,201.00,200.60,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),607.36
Request Throughput (per sec),0.55
Request Count (count),105.00
