Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),706.60,136.41,"1,779.56","1,778.63","1,764.84","1,313.98",877.87,655.22,338.11
Time To Second Token (ms),258.56,23.14,604.77,604.56,602.18,563.42,454.44,272.41,53.92
Request Latency (ms),"56,733.57","19,357.58","62,817.36","62,348.31","60,735.23","60,143.63","59,988.71","59,770.34","59,716.02"
Inter Token Latency (ms),52.25,22.14,59.67,59.46,58.73,57.95,55.95,52.33,50.02
Output Sequence Length (tokens),"1,082.76",402.00,"2,671.00","1,695.12","1,213.40","1,194.20","1,156.00","1,113.00","1,024.00"
Input Sequence Length (tokens),200.10,200.00,201.00,201.00,201.00,200.20,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),582.17
Request Throughput (per sec),0.54
Request Count (count),129.00
