Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),47.77,15.74,234.39,179.45,109.62,85.52,57.57,38.28,26.58
Time To Second Token (ms),8.88,0.00,106.64,92.16,40.09,13.69,8.03,5.88,1.08
Request Latency (ms),"1,333.56",286.42,"1,521.46","1,480.33","1,432.62","1,391.35","1,374.71","1,361.73","1,348.33"
Inter Token Latency (ms),6.12,4.16,7.27,6.87,6.68,6.60,6.45,6.15,5.86
Output Sequence Length (tokens),212.17,42.00,296.00,265.48,247.00,236.40,225.00,215.00,203.00
Input Sequence Length (tokens),100.10,100.00,101.00,101.00,101.00,100.40,100.00,100.00,100.00

Metric,Value
Output Token Throughput (per sec),"2,514.99"
Request Throughput (per sec),11.85
Request Count (count),427.00
