Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),71.72,27.98,196.44,163.50,158.42,104.02,69.51,63.51,54.10
Time To Second Token (ms),16.03,0.00,55.39,43.17,36.58,22.47,17.89,15.55,13.67
Request Latency (ms),"3,292.35","3,236.48","3,501.93","3,403.33","3,395.95","3,370.64","3,310.85","3,276.78","3,262.03"
Inter Token Latency (ms),14.58,12.86,16.12,15.99,15.68,15.40,15.06,14.63,14.17
Output Sequence Length (tokens),222.25,201.00,252.00,247.23,240.05,235.00,227.00,221.00,216.00
Input Sequence Length (tokens),100.10,100.00,101.00,101.00,101.00,100.10,100.00,100.00,100.00

Metric,Value
Output Token Throughput (per sec),"1,077.84"
Request Throughput (per sec),4.85
Request Count (count),160.00
