Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),429.84,90.81,"1,042.48",846.74,757.03,690.92,527.11,396.05,306.71
Time To Second Token (ms),77.05,0.00,525.36,238.29,128.63,107.68,92.34,76.22,56.18
Request Latency (ms),"9,221.50","8,336.06","10,130.08","9,801.94","9,644.69","9,502.67","9,396.44","9,220.18","9,041.45"
Inter Token Latency (ms),40.03,22.74,49.50,44.94,43.38,42.58,41.32,40.11,38.79
Output Sequence Length (tokens),221.16,184.00,386.00,254.00,239.00,233.00,226.00,220.00,214.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.10","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"3,059.89"
Request Throughput (per sec),13.84
Request Count (count),"3,200.00"
