Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),233.29,77.98,540.89,505.79,342.74,332.23,292.21,222.65,177.07
Time To Second Token (ms),37.43,0.00,327.73,228.93,120.17,87.32,48.50,31.33,0.01
Request Latency (ms),"28,568.68","7,110.81","29,261.10","29,072.06","28,989.40","28,911.55","28,809.17","28,695.89","28,588.90"
Inter Token Latency (ms),25.75,14.44,30.49,28.50,28.31,27.97,26.93,25.78,24.80
Output Sequence Length (tokens),"1,106.84",301.00,"1,962.00","1,330.60","1,235.60","1,192.20","1,146.00","1,105.00","1,055.00"
Input Sequence Length (tokens),200.09,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),"2,369.56"
Request Throughput (per sec),2.14
Request Count (count),385.00
