Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),245.25,75.86,443.46,423.27,386.65,345.08,287.05,243.25,209.14
Time To Second Token (ms),32.84,0.00,174.01,135.71,77.56,67.44,48.54,25.31,14.90
Request Latency (ms),"16,957.88","1,736.05","17,984.30","17,947.79","17,867.21","17,815.37","17,690.78","17,494.77","17,136.03"
Inter Token Latency (ms),15.65,8.94,18.62,17.68,17.45,17.37,16.84,15.74,14.82
Output Sequence Length (tokens),"1,074.95",98.00,"1,931.00","1,409.12","1,229.65","1,195.60","1,125.25","1,072.50","1,007.00"
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"3,847.39"
Request Throughput (per sec),3.58
Request Count (count),388.00
