Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),149.42,33.03,824.35,282.47,268.63,263.50,182.41,129.19,100.58
Time To Second Token (ms),20.27,0.00,105.99,75.33,71.57,60.74,23.66,14.17,6.76
Request Latency (ms),"9,389.83","1,559.11","10,258.86","10,148.82","9,661.21","9,639.61","9,609.49","9,564.93","9,523.71"
Inter Token Latency (ms),8.80,6.27,10.17,10.06,9.46,9.44,9.34,8.91,8.37
Output Sequence Length (tokens),"1,055.77",93.00,"1,492.00","1,389.10","1,229.50","1,182.20","1,114.50","1,051.00","1,004.00"
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.20","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"2,941.23"
Request Throughput (per sec),2.79
Request Count (count),99.00
