Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),639.66,100.84,"1,352.88",892.10,827.99,767.38,728.93,676.30,604.25
Time To Second Token (ms),54.85,0.00,196.96,182.35,129.28,105.09,75.58,48.34,27.46
Request Latency (ms),"26,966.11","1,599.02","28,737.70","28,627.05","28,560.24","28,497.44","28,091.71","27,536.69","27,257.73"
Inter Token Latency (ms),24.94,13.79,39.47,28.04,27.66,27.29,26.52,25.16,23.83
Output Sequence Length (tokens),"1,065.54",57.00,"1,986.00","1,481.00","1,264.00","1,206.00","1,120.50","1,069.00","1,008.00"
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"4,778.34"
Request Throughput (per sec),4.48
Request Count (count),651.00
