Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),42.25,24.14,61.56,61.42,60.83,60.15,50.33,41.69,31.35
Time To Second Token (ms),13.98,12.20,15.28,15.22,15.01,14.79,14.61,14.49,13.33
Request Latency (ms),"14,797.19","14,755.37","14,833.68","14,832.55","14,828.02","14,822.62","14,814.65","14,808.25","14,764.78"
Inter Token Latency (ms),13.25,11.44,14.77,14.76,14.73,14.62,13.96,13.36,12.43
Output Sequence Length (tokens),"1,121.25","1,000.00","1,292.00","1,283.97","1,251.85","1,218.50","1,187.00","1,105.50","1,058.75"
Input Sequence Length (tokens),200.08,200.00,201.00,200.89,200.45,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),303.00
Request Throughput (per sec),0.27
Request Count (count),12.00
