Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),101.16,76.79,129.65,129.56,129.23,128.86,106.35,97.50,91.68
Time To Second Token (ms),51.38,48.76,60.27,59.53,56.60,53.45,52.06,50.19,49.82
Request Latency (ms),"49,425.39","31,437.15","51,164.06","51,157.42","51,130.89","51,103.72","51,103.13","51,042.39","51,022.15"
Inter Token Latency (ms),46.70,40.36,49.28,49.27,49.21,49.09,48.13,47.42,46.67
Output Sequence Length (tokens),"1,057.33",737.00,"1,263.00","1,245.84","1,177.20","1,105.10","1,084.25","1,073.50","1,046.75"
Input Sequence Length (tokens),"1,000.08","1,000.00","1,001.00","1,000.89","1,000.45","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),82.83
Request Throughput (per sec),0.08
Request Count (count),12.00
