Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),44.85,34.78,70.61,70.19,68.89,48.71,46.09,43.03,40.46
Time To Second Token (ms),15.10,11.82,25.17,22.65,20.38,17.84,16.13,14.24,13.65
Request Latency (ms),"15,079.06","15,013.22","15,158.96","15,149.25","15,138.74","15,120.82","15,091.59","15,080.19","15,056.73"
Inter Token Latency (ms),13.74,11.31,14.98,14.96,14.92,14.87,14.31,13.91,13.34
Output Sequence Length (tokens),"1,100.46","1,005.00","1,326.00","1,313.90","1,277.25","1,195.00","1,127.50","1,081.50","1,051.50"
Input Sequence Length (tokens),"1,000.11","1,000.00","1,001.00","1,001.00","1,001.00","1,000.50","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),291.86
Request Throughput (per sec),0.27
Request Count (count),56.00
