Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),45.64,24.03,95.82,95.68,93.68,84.69,48.05,36.15,29.94
Time To Second Token (ms),7.83,0.02,21.35,21.35,21.29,20.91,7.67,5.72,4.19
Request Latency (ms),"5,573.36","5,490.23","5,714.45","5,714.39","5,713.82","5,711.44","5,582.39","5,564.87","5,524.11"
Inter Token Latency (ms),5.04,3.66,5.61,5.59,5.52,5.49,5.31,5.12,4.89
Output Sequence Length (tokens),"1,110.67","1,000.00","1,503.00","1,499.09","1,446.10","1,204.40","1,120.75","1,075.50","1,032.00"
Input Sequence Length (tokens),"1,000.12","1,000.00","1,001.00","1,001.00","1,001.00","1,000.70","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),796.24
Request Throughput (per sec),0.72
Request Count (count),24.00
