Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),295.05,33.69,"1,156.08",888.11,565.66,426.21,340.68,273.33,203.59
Time To Second Token (ms),30.56,0.00,674.61,178.18,96.50,66.90,41.40,22.02,0.55
Request Latency (ms),"2,998.65","1,496.58","3,755.35","3,704.25","3,437.36","3,152.95","3,054.52","2,954.49","2,911.28"
Inter Token Latency (ms),12.65,6.31,24.67,15.76,14.44,13.91,13.30,12.67,11.99
Output Sequence Length (tokens),215.82,65.00,378.00,269.00,243.00,234.00,223.00,214.00,206.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.60","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"4,475.50"
Request Throughput (per sec),20.74
Request Count (count),"1,615.00"
