Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),107.48,28.53,238.19,237.33,187.42,178.55,168.08,117.62,41.54
Time To Second Token (ms),35.17,0.01,116.33,113.19,106.79,65.77,61.16,18.80,14.70
Request Latency (ms),"3,138.33","2,974.46","3,263.13","3,256.04","3,243.49","3,240.25","3,221.85","3,187.10","3,015.80"
Inter Token Latency (ms),13.82,12.09,15.19,15.13,14.85,14.59,14.30,13.82,13.42
Output Sequence Length (tokens),220.67,202.00,254.00,249.60,235.25,231.50,226.00,219.50,214.75
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),281.10
Request Throughput (per sec),1.27
Request Count (count),136.00
