Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"42,347.22",347.13,"70,470.81","69,799.71","67,961.20","65,496.09","63,825.60","50,130.08","25,646.38"
Time To Second Token (ms),579.21,45.44,"2,227.46",640.31,636.82,634.26,630.73,625.50,614.45
Request Latency (ms),"62,758.16","19,758.61","89,661.52","88,993.77","87,140.26","85,040.65","83,631.04","69,324.67","45,464.50"
Inter Token Latency (ms),94.39,66.05,142.98,140.02,127.21,104.11,94.67,92.00,89.05
Output Sequence Length (tokens),217.77,201.00,301.00,256.88,235.00,228.00,222.00,215.00,211.00
Input Sequence Length (tokens),"1,000.11","1,000.00","1,001.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),315.58
Request Throughput (per sec),1.45
Request Count (count),207.00
