Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"1,240.27",122.51,"6,044.82","6,037.01","5,437.72","4,518.21","1,927.52",220.75,183.80
Time To Second Token (ms),109.69,9.77,302.69,202.66,191.34,172.30,150.01,104.10,77.73
Request Latency (ms),"51,529.97","29,364.35","55,655.36","55,620.95","55,393.16","54,981.69","53,474.12","50,302.05","50,236.39"
Inter Token Latency (ms),45.29,28.02,51.25,50.47,49.87,49.39,47.51,45.73,43.71
Output Sequence Length (tokens),"1,118.67",755.00,"1,783.00","1,498.88","1,277.60","1,213.20","1,150.00","1,103.00","1,061.00"
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"2,317.82"
Request Throughput (per sec),2.07
Request Count (count),385.00
