Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),86.98,45.37,155.61,153.76,139.42,136.33,125.11,70.73,63.07
Time To Second Token (ms),17.78,0.00,87.76,84.19,38.93,26.77,20.65,16.73,10.96
Request Latency (ms),"17,226.74","17,136.26","17,350.33","17,348.03","17,345.05","17,331.79","17,259.72","17,202.89","17,190.64"
Inter Token Latency (ms),15.38,8.74,17.23,17.09,16.90,16.60,16.13,15.59,14.88
Output Sequence Length (tokens),"1,123.60","1,004.00","1,959.00","1,359.55","1,278.00","1,230.00","1,152.25","1,101.50","1,065.25"
Input Sequence Length (tokens),200.10,200.00,201.00,201.00,201.00,200.50,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),"1,042.91"
Request Throughput (per sec),0.93
Request Count (count),96.00
