Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),97.46,40.29,215.18,213.10,167.38,125.06,107.39,93.08,78.70
Time To Second Token (ms),22.15,0.01,63.78,48.69,34.89,30.18,27.48,19.75,16.48
Request Latency (ms),"18,825.28","18,174.15","19,584.30","19,582.17","19,531.25","19,298.97","19,238.84","18,594.05","18,456.58"
Inter Token Latency (ms),16.80,9.79,20.17,18.93,18.46,18.31,17.69,16.90,16.09
Output Sequence Length (tokens),"1,124.05",964.00,"1,928.00","1,481.00","1,269.75","1,237.50","1,155.00","1,106.50","1,069.50"
Input Sequence Length (tokens),"1,000.09","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),954.95
Request Throughput (per sec),0.85
Request Count (count),176.00
