Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),116.05,43.57,225.21,210.11,181.21,159.46,137.85,110.96,92.43
Time To Second Token (ms),29.87,0.00,83.95,74.33,62.13,53.43,39.27,26.26,19.03
Request Latency (ms),"4,575.20","4,463.14","4,683.68","4,656.27","4,639.27","4,627.57","4,602.04","4,574.29","4,548.77"
Inter Token Latency (ms),20.31,14.29,23.88,22.24,21.71,21.39,20.88,20.34,19.81
Output Sequence Length (tokens),220.98,188.00,313.00,253.00,238.00,232.00,226.00,220.00,215.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"1,543.62"
Request Throughput (per sec),6.99
Request Count (count),992.00
