Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),583.93,130.65,"3,892.42","2,419.57","1,082.08","1,012.38",713.88,507.01,325.88
Time To Second Token (ms),160.28,0.00,"1,761.78",557.94,419.45,329.75,179.14,127.00,79.16
Request Latency (ms),"17,765.83","7,805.66","21,817.03","21,133.66","20,280.64","19,674.49","17,718.34","17,519.97","17,320.54"
Inter Token Latency (ms),77.18,28.07,99.60,96.36,91.17,85.28,80.74,76.87,73.41
Output Sequence Length (tokens),225.47,98.00,589.00,351.64,246.00,239.00,231.00,222.00,214.00
Input Sequence Length (tokens),100.10,100.00,101.00,101.00,101.00,100.00,100.00,100.00,100.00

Metric,Value
Output Token Throughput (per sec),"1,525.73"
Request Throughput (per sec),6.77
Request Count (count),"1,172.00"
