Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),269.73,55.90,874.21,856.35,791.54,754.57,265.29,203.37,148.20
Time To Second Token (ms),55.41,0.00,667.01,631.07,571.13,82.03,35.89,13.41,0.01
Request Latency (ms),"11,523.86","1,061.44","13,606.96","13,525.94","13,502.88","13,477.83","13,125.07","12,943.12","12,782.37"
Inter Token Latency (ms),11.84,6.43,14.89,13.37,12.91,12.76,12.61,11.98,11.27
Output Sequence Length (tokens),953.90,66.00,"1,985.00","1,306.00","1,231.05","1,148.80","1,092.25","1,034.00","1,001.00"
Input Sequence Length (tokens),200.11,200.00,201.00,201.00,201.00,201.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),"4,308.80"
Request Throughput (per sec),4.52
Request Count (count),232.00
