,Time To First Token (ms),Time To Second Token (ms),Request Latency (ms),Inter Token Latency (ms),Output Sequence Length (tokens),Input Sequence Length (tokens),Output Token Throughput (per sec),Request Throughput (per sec),Request Count (count)
32B_level_1.2_4,152.57,51.65,5087.84,44.29,114.68,200.11,90.15,0.79,28.0
32B_level_1.2_16,463.61,147.69,5807.56,49.2,109.86,200.1,302.28,2.75,96.0
32B_level_1.2_32,337.64,125.28,5913.81,51.07,110.92,200.1,598.89,5.4,192.0
32B_level_1.2_64,517.85,164.74,7055.27,59.98,110.66,200.1,1001.53,9.05,1088.0
32B_level_1.2_128,941.67,419.06,10275.13,85.37,111.18,200.09,1149.48,10.34,373.0
32B_level_2.1_1,62.89,46.51,47442.14,43.37,1097.33,200.33,23.13,0.02,3.0
32B_level_2.1_4,97.74,50.32,47036.46,45.6,1032.1,200.1,72.26,0.07,10.0
32B_level_2.1_16,488.26,136.73,52362.92,48.26,1082.34,200.09,283.28,0.26,56.0
32B_level_2.1_32,706.6,258.56,56733.57,52.25,1082.76,200.1,582.17,0.54,129.0
32B_level_2.1_64,4981.02,391.48,86233.04,75.72,1102.2,200.1,607.36,0.55,105.0
32B_level_2.1_128,8845.74,484.25,127476.65,115.48,1051.11,200.09,606.78,0.58,138.0
32B_level_2.2_1,293.38,49.92,9763.96,43.68,218.0,1000.33,22.32,0.1,3.0
32B_level_2.2_4,612.53,206.25,10842.66,47.15,218.25,1000.08,80.46,0.37,12.0
32B_level_2.2_16,1133.87,459.07,15023.25,63.48,222.12,1000.1,232.73,1.05,144.0
32B_level_2.2_32,2149.64,549.6,22193.77,92.23,219.29,1000.1,300.82,1.37,126.0
32B_level_2.2_64,16932.1,566.36,36655.01,91.04,219.92,1000.1,310.09,1.41,130.0
32B_level_2.2_128,42347.22,579.21,62758.16,94.39,217.77,1000.11,315.58,1.45,207.0
32B_level_4_1,232.88,46.12,47795.29,42.42,1123.67,1000.33,23.51,0.02,3.0
32B_level_4_4,101.16,51.38,49425.39,46.7,1057.33,1000.08,82.83,0.08,12.0
32B_level_4_16,1030.07,318.05,58467.75,53.44,1083.6,1000.09,258.8,0.24,43.0
32B_level_4_32,11444.14,519.02,86581.65,67.41,1134.8,1000.09,367.96,0.32,69.0
32B_level_4_64,67139.42,421.77,146047.42,71.75,1119.82,1000.09,365.17,0.33,93.0
32B_level_4_128,123198.51,305.91,203453.13,73.44,1100.13,1000.1,365.95,0.33,117.0
