Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),134.59,58.22,225.02,220.65,199.39,177.03,159.84,140.75,105.87
Time To Second Token (ms),28.93,0.00,94.65,90.40,51.80,47.65,37.01,27.06,17.13
Request Latency (ms),"23,973.95","23,649.06","24,707.75","24,521.11","24,364.74","24,353.82","24,034.97","23,946.02","23,804.61"
Inter Token Latency (ms),21.52,12.69,23.94,23.83,23.67,23.52,22.58,21.64,20.83
Output Sequence Length (tokens),"1,116.22","1,001.00","1,874.00","1,471.20","1,246.60","1,195.20","1,145.50","1,102.00","1,058.50"
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.20","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"1,336.64"
Request Throughput (per sec),1.20
Request Count (count),259.00
