Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),64.79,24.02,165.72,139.02,101.20,94.25,80.97,64.25,44.44
Time To Second Token (ms),8.68,0.00,69.32,56.46,29.72,19.59,10.92,6.43,0.70
Request Latency (ms),"1,498.51",511.92,"1,608.27","1,597.85","1,551.36","1,542.75","1,522.28","1,503.33","1,491.14"
Inter Token Latency (ms),6.72,4.09,9.66,7.49,7.28,7.21,7.03,6.76,6.48
Output Sequence Length (tokens),215.37,72.00,348.00,267.31,242.00,234.00,223.00,214.00,205.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),"2,282.15"
Request Throughput (per sec),10.60
Request Count (count),770.00
