Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"67,139.42",496.47,"145,329.28","144,752.69","139,771.35","136,840.34","116,908.43","77,991.37","6,439.85"
Time To Second Token (ms),421.77,43.34,642.32,634.34,631.74,629.97,617.51,595.16,60.17
Request Latency (ms),"146,047.42","60,070.31","214,529.79","213,967.64","209,351.13","205,031.22","189,306.04","148,084.29","109,113.89"
Inter Token Latency (ms),71.75,35.33,126.68,126.21,114.77,104.24,77.37,64.26,61.22
Output Sequence Length (tokens),"1,119.82",621.00,"2,042.00","1,900.32","1,372.20","1,170.80","1,125.00","1,082.00","1,060.00"
Input Sequence Length (tokens),"1,000.09","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),365.17
Request Throughput (per sec),0.33
Request Count (count),93.00
