Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),409.42,49.39,"2,750.88","1,195.76",764.81,676.30,482.78,352.67,283.59
Time To Second Token (ms),47.61,0.00,644.41,279.68,216.84,144.37,63.25,20.82,0.00
Request Latency (ms),"4,311.58",888.93,"5,429.24","5,349.30","4,904.58","4,843.73","4,455.48","4,347.46","4,123.70"
Inter Token Latency (ms),18.61,1.58,43.75,29.47,22.19,20.86,19.63,18.44,17.35
Output Sequence Length (tokens),213.42,39.00,400.00,286.20,246.00,237.00,225.00,214.00,203.00
Input Sequence Length (tokens),100.10,100.00,101.00,101.00,101.00,100.00,100.00,100.00,100.00

Metric,Value
Output Token Throughput (per sec),"6,165.18"
Request Throughput (per sec),28.89
Request Count (count),"1,161.00"
