Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"1,133.87",137.44,"4,039.10","3,872.45","2,686.88","1,476.86","1,170.88","1,145.40",878.02
Time To Second Token (ms),459.07,50.68,620.76,619.50,614.36,611.00,590.45,580.15,314.75
Request Latency (ms),"15,023.25","11,239.98","18,088.76","17,827.84","16,545.25","15,766.06","15,374.03","15,350.66","15,261.17"
Inter Token Latency (ms),63.48,30.97,71.50,70.57,69.38,68.79,67.61,65.62,62.24
Output Sequence Length (tokens),222.12,203.00,459.00,395.56,235.85,231.70,223.00,216.00,211.00
Input Sequence Length (tokens),"1,000.10","1,000.00","1,001.00","1,001.00","1,001.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (per sec),232.73
Request Throughput (per sec),1.05
Request Count (count),144.00
